County,Category,Education metrics,Urban vs Rural
Trans Nzoia,Rural,Completed technical training after secondary school,0
Busia,Rural,Completed technical training after secondary school,0
Kisumu,Rural,"""Primary completed""",0
Nyeri,Urban,"""Primary completed""",1
Murang'a,Urban,"""Secondary completed """,1
Baringo,Rural,"""Primary completed""",0
Nyeri,Rural,"""Primary completed""",0
Kakamega,Rural,"""None """,0
Bomet,Rural,"""Secondary completed """,0
Garissa,Rural,"""None """,0
Kiambu,Urban,"""Primary completed""",1
Nyamira,Rural,"""Secondary completed """,0
Taita-Taveta,Rural,"""Primary completed""",0
Kericho,Rural,"""Secondary completed """,0
Kisii,Rural,"""Secondary completed """,0
Baringo,Rural,Some technical training after secondary school,0
Taita-Taveta,Rural,"""None """,0
Kirinyaga,Rural,"""Primary completed""",0
Homabay,Rural,"""Primary completed""",0
Busia,Rural,"""Secondary completed """,0
Baringo,Rural,"""Secondary completed """,0
Wajir,Urban,"""None """,1
Nyeri,Rural,"""Secondary completed """,0
Tana River,Rural,"""None """,0
Laikipia,Urban,Completed technical training after secondary school,1
Laikipia,Rural,"""None """,0
West Pokot,Urban,"""Secondary completed """,1
Homabay,Rural,"""Primary completed""",0
Garissa,Rural,"""None """,0
Nyandarua,Rural,"""Primary completed""",0
Baringo,Urban,"""Secondary completed """,1
Kiambu,Urban,"""Secondary completed """,1
Marsabit,Urban,"""Secondary completed """,1
Mandera,Rural,"""None """,0
Turkana,Rural,"""None """,0
Mandera,Urban,"""None """,1
Wajir,Urban,"""None """,1
Trans Nzoia,Rural,"""Secondary completed """,0
Embu,Rural,"""Secondary completed """,0
Taita-Taveta,Rural,"""Primary completed""",0
Kilifi,Urban,Some university,1
Machakos,Rural,"""Primary completed""",0
Turkana,Rural,"""None """,0
Kitui,Rural,"""Primary completed""",0
Samburu,Rural,"""Secondary completed """,0
Uasin Gishu,Rural,"""None """,0
Trans Nzoia,Rural,"""Primary completed""",0
Turkana,Rural,"""Primary completed""",0
Kericho,Rural,"""Primary completed""",0
Kisii,Urban,"""Secondary completed """,1
Taita-Taveta,Urban,"""Secondary completed """,1
Isiolo,Urban,"""Secondary completed """,1
Marsabit,Urban,Some technical training after secondary school,1
Tana River,Rural,"""Secondary completed """,0
Kisumu,Urban,"""Secondary completed """,1
Murang'a,Rural,"""Primary completed""",0
Machakos,Rural,"""University completed """,0
Meru,Rural,"""None """,0
Baringo,Rural,"""Primary completed""",0
Lamu,Urban,"""Secondary completed """,1
Laikipia,Urban,"""Secondary completed """,1
Kisumu,Urban,"""Secondary completed """,1
Kiambu,Rural,"""Primary completed""",0
Machakos,Urban,"""Secondary completed """,1
Taita-Taveta,Rural,"""Primary completed""",0
Embu,Urban,"""University completed """,1
Meru,Rural,"""Secondary completed """,0
Samburu,Rural,"""None """,0
Marsabit,Rural,"""None """,0
Taita-Taveta,Rural,"""Secondary completed """,0
Uasin Gishu,Urban,"""University completed """,1
Machakos,Urban,"""Secondary completed """,1
Kwale,Rural,"""Primary completed""",0
Taita-Taveta,Rural,"""None """,0
Kisii,Rural,"""Primary completed""",0
Busia,Rural,"""None """,0
Garissa,Urban,"""None """,1
Bungoma,Rural,"""Primary completed""",0
Garissa,Rural,"""None """,0
Homabay,Rural,"""Primary completed""",0
Kisumu,Urban,"""Primary completed""",1
Busia,Urban,"""Primary completed""",1
Laikipia,Urban,Completed technical training after secondary school,1
Homabay,Urban,"""Primary completed""",1
Isiolo,Urban,"""Primary completed""",1
Nyeri,Urban,"""Secondary completed """,1
Kisumu,Urban,"""Primary completed""",1
Embu,Rural,"""Secondary completed """,0
Vihiga,Rural,"""Primary completed""",0
Nandi,Rural,"""Primary completed""",0
Kericho,Rural,"""Secondary completed """,0
