Year,GDP_in_dollars, Annual Growth Rate (%),GDP_in_KSh,Rural_GDP,Urban_GDP
1960,102.0799,147.84,15091.49242,22.355498099999995,79.7244019
1961,98.5353,-3.47,14567.45875,21.5792307,76.95606930000001
1962,103.7967,5.34,15345.30413,22.731477299999998,81.0652227
1963,106.5388,2.64,15750.69619,23.331997199999996,83.2068028
1964,110.392,3.62,16320.35328,24.175847999999995,86.216152
1965,105.9677,-4.01,15666.26477,23.206926299999996,82.7607737
1966,118.797,12.11,17562.94848,26.016542999999995,92.780457
1967,120.8265,1.71,17862.98976,26.461003499999997,94.3654965
1968,127.5025,5.53,18849.9696,27.923047499999996,99.5794525
1969,132.105,3.61,19530.4032,28.930994999999996,103.174005
1970,139.7573,5.79,20661.71923,30.606848699999993,109.1504513
1971,149.464,6.95,22096.75776,32.73261599999999,116.731384
1972,171.0051,14.41,25281.39398,37.4501169,133.55498310000002
1973,196.624,14.98,29068.89216,43.060655999999994,153.563344
1974,224.9296,14.4,33253.59206,49.25958239999999,175.6700176
1975,238.7465,6.14,35296.28256,52.28548349999999,186.4610165
1976,246.3818,3.2,36425.08531,53.957614199999995,192.4241858
1977,308.3126,25.14,45580.93478,67.5204594,240.79214059999998
1978,351.5335,14.02,51970.71264,76.98583649999999,274.5476635
1979,399.1131,13.53,59004.8807,87.40576889999998,311.7073311
1980,448.833,12.46,66355.47072,98.294427,350.53857300000004
1981,408.3467,-9.02,60369.97613,89.4279273,318.91877270000003
1982,369.3871,-9.54,54610.18886,80.89577489999998,288.4913251
1983,330.9008,-10.42,48920.37427,72.46727519999999,258.4335248
1984,330.1541,-0.23,48809.98214,72.30374789999999,257.8503521
1985,315.3909,-4.47,46627.39066,69.07060709999999,246.3202929
1986,359.068,13.85,53084.61312,78.63589199999998,280.43210799999997
1987,381.706,6.3,56431.41504,83.59361399999999,298.112386
1988,386.3559,1.22,57118.85626,84.6119421,301.7439579
1989,369.9834,-4.24,54698.34586,81.0263646,288.95703540000005
1990,370.1001,0.03,54715.59878,81.05192189999998,289.04817810000003
1991,340.8065,-7.92,50384.83296,74.6366235,266.16987650000004
1992,332.9499,-2.31,49223.31322,72.91602809999999,260.0338719
1993,226.5212,-31.97,33488.89421,49.60814279999999,176.9130572
1994,273.5218,20.75,40437.46291,59.90127419999999,213.6205258
1995,336.5653,23.05,49757.81395,73.70780069999999,262.8574993
1996,436.1957,29.6,64487.17229,95.52685829999999,340.66884170000003
1997,462.4045,6.01,68361.88128,101.26658549999999,361.1379145
1998,483.7086,4.61,71511.47942,105.93218339999999,377.7764166
1999,430.3673,-11.03,63625.50163,94.25043869999999,336.11686130000004
2000,411.8214,-4.31,60883.67578,90.18888659999999,321.6325134
2001,408.3606,-0.84,60372.0311,89.43097139999999,318.9296286
2002,401.0924,-1.78,59297.50042,87.8392356,313.2531644
2003,441.3914,10.05,65255.30458,96.66471659999998,344.7266834
2004,462.6182,4.81,68393.47469,101.31338579999999,361.3048142
2005,522.7768,13.0,77287.32211,114.48811919999999,408.2886808
2006,699.3997,33.79,103399.2516,153.1685343,546.2311657
2007,840.1916,20.13,124213.9261,184.00196039999997,656.1896396
2008,915.9989,9.02,135421.2774,200.6037591,715.3951409000001
2009,1049.1218,14.53,155102.1669,229.75767419999994,819.3641257999999
2010,1093.6396,4.24,161683.6785,239.50707239999997,854.1325276
2011,1099.3155,0.52,162522.8035,240.75009449999996,858.5654055
2012,1289.7808,17.33,190681.1935,282.4619952,1007.3188048000001
2013,1376.8292,6.75,203550.4289,301.52559479999996,1075.3036052
2014,1489.9197,8.21,220269.7284,326.29241429999996,1163.6272857
2015,1496.6536,0.45,221265.2682,327.76713839999996,1168.8864616
2016,1562.0766,4.37,230937.4045,342.0947754,1219.9818246000002
2017,1675.9884,7.29,247778.1251,367.04145959999994,1308.9469404
2018,1845.7834,10.13,272880.6179,404.22656459999996,1441.5568354000002
2019,1970.0801,6.73,291256.642,431.4475418999999,1538.6325580999999
2020,1936.2508,-1.72,286255.3183,424.03892519999994,1512.2118748
2021,2069.6611,6.89,305978.697,453.2557808999999,1616.4053190999998
2022,2099.3019,1.43,310360.7929,459.7471160999999,1639.5547839
