Entity,Year,Urban population,Rural population
Kenya,1960,570661.0,7180774.0
Kenya,1961,608791.0,7438679.0
Kenya,1962,650185.0,7713393.0
Kenya,1963,699081.0,7998119.0
Kenya,1964,752562.0,8294825.0
Kenya,1965,810351.0,8606856.0
Kenya,1966,872628.0,8929977.0
Kenya,1967,939416.0,9261652.0
Kenya,1968,1010972.0,9602905.0
Kenya,1969,1087396.0,9952155.0
Kenya,1970,1181154.0,10291933.0
Kenya,1971,1282416.0,10616041.0
Kenya,1972,1390270.0,10932633.0
Kenya,1973,1506366.0,11254039.0
Kenya,1974,1630556.0,11573393.0
Kenya,1975,1763007.0,11888901.0
Kenya,1976,1904229.0,12198039.0
Kenya,1977,2057155.0,12520191.0
Kenya,1978,2224641.0,12862782.0
Kenya,1979,2405731.0,13214882.0
Kenya,1980,2522440.0,13664684.0
Kenya,1981,2632207.0,14153755.0
Kenya,1982,2747533.0,14663958.0
Kenya,1983,2869250.0,15200211.0
Kenya,1984,2996570.0,15756606.0
Kenya,1985,3127713.0,16324448.0
Kenya,1986,3262030.0,16898848.0
Kenya,1987,3399814.0,17482280.0
Kenya,1988,3543008.0,18083114.0
Kenya,1989,3690629.0,18697174.0
Kenya,1990,3879217.0,19283052.0
Kenya,1991,4076385.0,19841850.0
Kenya,1992,4275795.0,20379928.0
Kenya,1993,4480388.0,20911442.0
Kenya,1994,4691530.0,21442214.0
Kenya,1995,4908793.0,21969554.0
Kenya,1996,5130728.0,22485008.0
Kenya,1997,5360279.0,23003984.0
Kenya,1998,5600786.0,23536588.0
Kenya,1999,5858183.0,24106946.0
Kenya,2000,6137001.0,24714604.0
Kenya,2001,6436071.0,25364272.0
Kenya,2002,6749693.0,26030130.0
Kenya,2003,7073537.0,26693584.0
Kenya,2004,7414140.0,27377696.0
Kenya,2005,7768972.0,28074038.0
Kenya,2006,8140172.0,28785080.0
Kenya,2007,8527849.0,29508944.0
Kenya,2008,8934612.0,30252284.0
Kenya,2009,9357689.0,31006756.0
Kenya,2010,9786183.0,31731712.0
Kenya,2011,10219218.0,32415926.0
Kenya,2012,10658602.0,33067204.0
Kenya,2013,11105820.0,33686548.0
Kenya,2014,11559254.0,34272610.0
Kenya,2015,12021155.0,34830332.0
Kenya,2016,12502904.0,35391770.0
Kenya,2017,13001604.0,35946532.0
Kenya,2018,13502378.0,36450930.0
Kenya,2019,14015215.0,36936236.0
Kenya,2020,14553419.0,37432360.0
Kenya,2021,15102890.0,37902724.0
Kenya,2022,15667971.229999999,38359515.769999996
Kenya,2023,15979169.94,39121416.059999995
