Year,GDP Per Capita ($), Annual Growth Rate (%),GDP Per Capita(Ksh.)
1960,102.0799,147.84,15091.49242
1961,98.5353,-3.47,14567.45875
1962,103.7967,5.34,15345.30413
1963,106.5388,2.64,15750.69619
1964,110.392,3.62,16320.35328
1965,105.9677,-4.01,15666.26477
1966,118.797,12.11,17562.94848
1967,120.8265,1.71,17862.98976
1968,127.5025,5.53,18849.9696
1969,132.105,3.61,19530.4032
1970,139.7573,5.79,20661.71923
1971,149.464,6.95,22096.75776
1972,171.0051,14.41,25281.39398
1973,196.624,14.98,29068.89216
1974,224.9296,14.4,33253.59206
1975,238.7465,6.14,35296.28256
1976,246.3818,3.2,36425.08531
1977,308.3126,25.14,45580.93478
1978,351.5335,14.02,51970.71264
1979,399.1131,13.53,59004.8807
1980,448.833,12.46,66355.47072
1981,408.3467,-9.02,60369.97613
1982,369.3871,-9.54,54610.18886
1983,330.9008,-10.42,48920.37427
1984,330.1541,-0.23,48809.98214
1985,315.3909,-4.47,46627.39066
1986,359.068,13.85,53084.61312
1987,381.706,6.3,56431.41504
1988,386.3559,1.22,57118.85626
1989,369.9834,-4.24,54698.34586
1990,370.1001,0.03,54715.59878
1991,340.8065,-7.92,50384.83296
1992,332.9499,-2.31,49223.31322
1993,226.5212,-31.97,33488.89421
1994,273.5218,20.75,40437.46291
1995,336.5653,23.05,49757.81395
1996,436.1957,29.6,64487.17229
1997,462.4045,6.01,68361.88128
1998,483.7086,4.61,71511.47942
1999,430.3673,-11.03,63625.50163
2000,411.8214,-4.31,60883.67578
2001,408.3606,-0.84,60372.0311
2002,401.0924,-1.78,59297.50042
2003,441.3914,10.05,65255.30458
2004,462.6182,4.81,68393.47469
2005,522.7768,13,77287.32211
2006,699.3997,33.79,103399.2516
2007,840.1916,20.13,124213.9261
2008,915.9989,9.02,135421.2774
2009,1049.1218,14.53,155102.1669
2010,1093.6396,4.24,161683.6785
2011,1099.3155,0.52,162522.8035
2012,1289.7808,17.33,190681.1935
2013,1376.8292,6.75,203550.4289
2014,1489.9197,8.21,220269.7284
2015,1496.6536,0.45,221265.2682
2016,1562.0766,4.37,230937.4045
2017,1675.9884,7.29,247778.1251
2018,1845.7834,10.13,272880.6179
2019,1970.0801,6.73,291256.642
2020,1936.2508,-1.72,286255.3183
2021,2069.6611,6.89,305978.697
2022,2099.3019,1.43,310360.7929
